n,j,u[n][j],exact,error
59,1,0.552389,0.551731,0.119093
59,2,0.531902,0.531268,0.119093
59,3,0.498317,0.497724,0.119093
59,4,0.452463,0.451924,0.119093
59,5,0.395467,0.394996,0.119093
59,6,0.328733,0.328342,0.119093
59,7,0.253905,0.253603,0.119093
59,8,0.172825,0.172619,0.119093
59,9,0.087490,0.087386,0.119093
59,10,0.000000,0.000000,1.#INF00
60,0,0.553793,0.553122,0.121110
60,1,0.546975,0.546312,0.121110
60,2,0.526688,0.526051,0.121110
60,3,0.493433,0.492836,0.121110
60,4,0.448028,0.447485,0.121110
60,5,0.391591,0.391116,0.121110
60,6,0.325511,0.325117,0.121110
60,7,0.251417,0.251112,0.121110
60,8,0.171131,0.170924,0.121110
60,9,0.086632,0.086527,0.121110
60,10,0.000000,0.000000,1.#INF00
61,0,0.548365,0.547690,0.123127
61,1,0.541614,0.540947,0.123127
61,2,0.521526,0.520884,0.123127
61,3,0.488597,0.487995,0.123127
61,4,0.443637,0.443091,0.123127
61,5,0.387753,0.387275,0.123127
61,6,0.322321,0.321924,0.123127
61,7,0.248953,0.248646,0.123127
61,8,0.169454,0.169246,0.123127
61,9,0.085783,0.085678,0.123127
61,10,0.000000,0.000000,1.#INF00
62,0,0.542991,0.542311,0.125145
62,1,0.536305,0.535634,0.125145
62,2,0.516415,0.515768,0.125145
62,3,0.483808,0.483203,0.125145
62,4,0.439289,0.438739,0.125145
62,5,0.383952,0.383472,0.125145
62,6,0.319162,0.318762,0.125145
62,7,0.246513,0.246204,0.125145
62,8,0.167793,0.167583,0.125145
62,9,0.084942,0.084836,0.125145
62,10,0.000000,0.000000,1.#INF00
63,0,0.537669,0.536985,0.127162
63,1,0.531049,0.530374,0.127162
63,2,0.511353,0.510703,0.127162
63,3,0.479066,0.478457,0.127162
63,4,0.434983,0.434430,0.127162
63,5,0.380189,0.379706,0.127162
63,6,0.316034,0.315632,0.127162
63,7,0.244096,0.243786,0.127162
63,8,0.166149,0.165937,0.127162
63,9,0.084110,0.084003,0.127162
63,10,0.000000,0.000000,1.#INF00
64,0,0.532399,0.531711,0.129179
64,1,0.525844,0.525165,0.129179
64,2,0.506342,0.505687,0.129179
64,3,0.474371,0.473758,0.129179
64,4,0.430720,0.430163,0.129179
64,5,0.376463,0.375977,0.129179
64,6,0.312936,0.312532,0.129179
64,7,0.241704,0.241392,0.129179
64,8,0.164520,0.164308,0.129179
64,9,0.083286,0.083178,0.129179
64,10,0.000000,0.000000,1.#INF00
65,0,0.527181,0.526489,0.131196
65,1,0.520690,0.520007,0.131196
65,2,0.501379,0.500721,0.131196
65,3,0.469722,0.469105,0.131196
65,4,0.426498,0.425939,0.131196
65,5,0.372773,0.372284,0.131196
65,6,0.309869,0.309463,0.131196
65,7,0.239335,0.239021,0.131196
